Sample number,depth?cm?,Age (yr BP),Age (kyr BP),sand,Silt,clay,"
Average particle size
Mz",Mean grain size (um),Median particle sizeMd???,Median (um),"

Skewness value
Skf???",kurtosisKg???,"

Separation coefficient
?i???",Sediment types
1#,2 ,,,1.485 ,68.608 ,29.907 ,7.111 ,7.235 ,6.987 ,7.881 ,-0.139 ,0.994 ,1.734 ,clay silt
2#,4 ,,,2.337 ,68.739 ,28.924 ,7.082 ,7.380 ,6.967 ,7.992 ,-0.127 ,1.033 ,1.727 ,clay silt
3#,6 ,2025.9 ,2 ,7.673 ,63.454 ,28.873 ,6.951 ,8.083 ,6.884 ,8.465 ,0.081 ,1.426 ,2.270 ,clay silt
4#,8 ,2251.7 ,2 ,1.869 ,67.169 ,30.962 ,7.180 ,6.896 ,7.054 ,7.524 ,-0.132 ,1.015 ,1.747 ,clay silt
5#,10 ,2477.5 ,2 ,2.646 ,68.568 ,28.786 ,7.064 ,7.471 ,6.950 ,8.089 ,-0.125 ,1.031 ,1.732 ,clay silt
6#,12 ,2703.3 ,3 ,4.067 ,67.655 ,28.278 ,7.008 ,7.770 ,6.926 ,8.225 ,-0.084 ,1.062 ,1.788 ,clay silt
7#,14 ,2929.1 ,3 ,2.925 ,68.384 ,28.691 ,7.025 ,7.680 ,6.928 ,8.213 ,-0.106 ,1.027 ,1.778 ,clay silt
8#,16 ,3154.9 ,3 ,3.389 ,72.312 ,24.299 ,6.721 ,9.481 ,6.568 ,10.541 ,-0.168 ,0.991 ,1.821 ,clay silt
119#,238 ,,0 ,5.056 ,71.651 ,23.293 ,6.636 ,10.052 ,6.531 ,10.812 ,-0.128 ,1.000 ,1.839 ,clay silt
120#,240 ,,0 ,3.401 ,71.996 ,24.603 ,6.754 ,9.268 ,6.627 ,10.115 ,-0.148 ,1.002 ,1.808 ,clay silt
121#,242 ,,0 ,4.122 ,74.512 ,21.366 ,6.588 ,10.392 ,6.408 ,11.778 ,-0.192 ,1.043 ,1.765 ,clay silt
122#,244 ,,0 ,5.054 ,69.601 ,25.344 ,6.722 ,9.471 ,6.732 ,9.409 ,-0.034 ,0.950 ,1.809 ,clay silt
123#,246 ,,0 ,3.252 ,74.234 ,22.514 ,6.729 ,9.428 ,6.603 ,10.287 ,-0.149 ,1.054 ,1.701 ,clay silt
124#,248 ,,0 ,4.528 ,75.441 ,20.032 ,6.478 ,11.221 ,6.288 ,12.798 ,-0.204 ,1.032 ,1.764 ,clay silt
125#,250 ,,0 ,1.911 ,79.415 ,18.674 ,6.498 ,11.067 ,6.280 ,12.870 ,-0.256 ,1.065 ,1.635 ,Medium fine silt
126#,252 ,,0 ,4.128 ,72.479 ,23.393 ,6.685 ,9.720 ,6.586 ,10.411 ,-0.125 ,1.006 ,1.786 ,clay silt
127#,254 ,,0 ,2.943 ,74.882 ,22.175 ,6.682 ,9.736 ,6.519 ,10.902 ,-0.184 ,1.041 ,1.724 ,clay silt
128#,256 ,,0 ,5.504 ,71.148 ,23.347 ,6.622 ,10.156 ,6.526 ,10.852 ,-0.117 ,0.992 ,1.848 ,clay silt
129#,258 ,,0 ,3.366 ,73.417 ,23.218 ,6.666 ,9.850 ,6.530 ,10.823 ,-0.160 ,0.987 ,1.779 ,clay silt
130#,260 ,,0 ,3.124 ,76.400 ,20.476 ,6.593 ,10.361 ,6.434 ,11.565 ,-0.187 ,1.053 ,1.694 ,clay silt
131#,262 ,,0 ,1.102 ,78.492 ,20.406 ,6.673 ,9.800 ,6.502 ,11.036 ,-0.219 ,1.058 ,1.592 ,clay silt
132#,264 ,,0 ,2.479 ,77.314 ,20.207 ,6.599 ,10.313 ,6.427 ,11.620 ,-0.205 ,1.055 ,1.661 ,clay silt
